date.s..conducted,polling.organisation.client,sample.size,cons,lab,lib.dem,ukip,others,lead,sortdate,year
12-13 May,ComRes/The Independent on Sunday/Sunday Mirror,1010,38,34,21,0,7,4,13/05/2010,2010
13-14 May,YouGov/Sunday Times,1489,37,34,21,0,8,3,14/05/2010,2010
20-21 May,YouGov/Sunday Times,1477,39,32,21,2,5,7,21/05/2010,2010
21-23 May,ICM/The Guardian,1001,39,32,21,0,8,7,23/05/2010,2010
28-31 May,ComRes/The Independent,1000,37,33,21,0,9,4,31/05/2010,2010
1-9 June,Harris Interactive/Metro,1906,36,30,25,0,9,6,09/06/2010,2010
10-11 June,YouGov/Sunday Times,1482,40,32,18,3,6,8,11/06/2010,2010
10-11 June,BPIX/Mail on Sunday[11],2117,39,32,19,0,10,7,11/06/2010,2010
16-17 June,ComRes/The Independent on Sunday,1004,36,30,23,0,11,6,17/06/2010,2010
17-18 June,YouGov/Sunday Times,1491,39,34,19,3,5,5,18/06/2010,2010
18-20 June,Ipsos MORI/Reuters,1002,39,31,19,2,10,8,20/06/2010,2010
18-20 June,ICM/The Guardian,1000,39,31,21,0,8,8,20/06/2010,2010
20-21 June,YouGov/The Sun,2042,41,33,18,3,4,8,21/06/2010,2010
21-22 June,YouGov/The Sun,2295,41,37,15,2,5,4,22/06/2010,2010
22-23 June,YouGov/The Sun,1641,42,34,17,3,4,8,23/06/2010,2010
22-23 June,Populus/The Times,1003,39,33,18,0,9,6,23/06/2010,2010
23-24 June,ICM/Sunday Telegraph,1006,41,35,16,0,7,6,24/06/2010,2010
24-25 June,YouGov/Sunday Times,2038,43,36,16,2,4,7,25/06/2010,2010
25-27 June,ComRes/The Independent,1003,40,31,18,0,11,8,27/06/2010,2010
4-5 July,YouGov/The Sun,1424,40,36,16,2,6,4,05/07/2010,2010
5-6 July,YouGov/The Spectator,2214,41,35,16,2,7,6,06/07/2010,2010
5-6 July,YouGov/The Sun,1972,41,36,15,2,7,5,06/07/2010,2010
6-7 July,YouGov/The Sun,2731,40,36,17,2,5,4,07/07/2010,2010
7-8 July,YouGov/The Sun,2165,42,35,16,3,4,7,08/07/2010,2010
8-9 July,YouGov/Sunday Times,2019,42,34,17,2,5,8,09/07/2010,2010
11-12 July,YouGov/The Sun,2227,42,35,15,2,6,7,12/07/2010,2010
12-13 July,YouGov/The Sun,2173,42,35,15,3,5,7,13/07/2010,2010
13-14 July,YouGov/The Sun,2185,43,34,15,3,5,9,14/07/2010,2010
14-15 July,YouGov/The Sun,1620,43,34,15,2,6,9,15/07/2010,2010
15-16 July,YouGov/Sunday Times,2023,40,37,15,2,5,3,16/07/2010,2010
18-19 July,YouGov/The Sun,2007,42,35,15,2,6,7,19/07/2010,2010
19-20 July,YouGov/The Sun,2143,43,35,14,2,6,8,20/07/2010,2010
20-21 July,YouGov/The Sun,2101,44,35,13,2,5,9,21/07/2010,2010
21-22 July,YouGov/The Sun,2104,43,35,15,2,5,8,22/07/2010,2010
22-23 July,YouGov/Sunday Times,1891,41,36,14,3,6,5,23/07/2010,2010
23-25 July,ICM/The Guardian,1009,38,34,19,0,8,4,25/07/2010,2010
23-25 July,Ipsos MORI/Reuters,1009,40,38,14,0,8,2,25/07/2010,2010
25-26 July,YouGov/The Sun,2143,42,35,15,3,5,7,26/07/2010,2010
26-27 July,YouGov/The Sun,2028,42,37,14,2,5,5,27/07/2010,2010
27-28 July,YouGov/The Sun,1900,42,36,14,3,5,6,28/07/2010,2010
29-30 July,YouGov/Sunday Times,1885,42,38,12,2,5,4,30/07/2010,2010
1-2 Aug,YouGov/The Sun,2216,42,38,12,2,6,4,02/08/2010,2010
2-3 Aug,YouGov/The Sun,2101,41,36,13,3,6,5,03/08/2010,2010
3-4 Aug,YouGov/The Sun,2137,42,36,13,3,6,6,04/08/2010,2010
5-6 Aug,YouGov/Sunday Times,1906,42,36,13,3,5,6,06/08/2010,2010
6-8 Aug,ComRes/The Independent,1004,39,33,16,0,13,6,08/08/2010,2010
8-9 Aug,YouGov/The Sun,2241,40,36,15,3,6,4,09/08/2010,2010
9-10 Aug,YouGov/The Sun,2008,42,38,14,2,5,4,10/08/2010,2010
10-11 Aug,YouGov/The Sun,1940,41,37,15,2,6,4,11/08/2010,2010
11-12 Aug,YouGov/The Sun,2000,42,37,14,3,5,5,12/08/2010,2010
12-13 Aug,YouGov/Sunday Times,1865,42,37,13,2,5,5,13/08/2010,2010
13-15 Aug,ICM/The Guardian,1001,37,37,18,0,8,0,15/08/2010,2010
13-15 Aug,ComRes/Daily Mirror/GMTV,939,39,33,15,0,13,6,15/08/2010,2010
15-16 Aug,YouGov/The Sun,2125,41,37,15,2,6,4,16/08/2010,2010
16-17 Aug,YouGov/The Sun,2059,42,37,14,2,6,5,17/08/2010,2010
17-18 Aug,YouGov/The Sun,2095,44,36,12,2,5,8,18/08/2010,2010
18-19 Aug,YouGov/The Sun,1970,41,37,14,3,5,4,19/08/2010,2010
19-20 Aug,YouGov/Sunday Times,1953,41,38,12,3,5,3,20/08/2010,2010
22-23 Aug,YouGov/The Sun,2088,41,39,12,4,5,2,23/08/2010,2010
23-24 Aug,YouGov/The Sun,2011,41,38,13,3,5,3,24/08/2010,2010
24-25 Aug,YouGov/The Sun,2030,42,37,12,2,6,5,25/08/2010,2010
25-26 Aug,YouGov/The Sun,2046,42,37,12,3,6,5,26/08/2010,2010
26-27 Aug,YouGov/Sunday Times,1872,41,37,13,3,5,4,27/08/2010,2010
30-31 Aug,YouGov/The Sun,1548,43,38,11,2,6,5,31/08/2010,2010
31 Aug-1 Sep,YouGov/The Sun,1923,43,37,12,3,5,6,01/09/2010,2010
2-3 Sep,YouGov/Sunday Times,1849,42,37,12,3,6,5,03/09/2010,2010
3-5 Sep,ComRes/The Independent,1000,38,34,18,0,10,4,05/09/2010,2010
5-6 Sep,YouGov/The Sun,2089,42,37,13,3,5,5,06/09/2010,2010
6-7 Sep,YouGov/The Sun,2089,42,38,13,2,6,4,07/09/2010,2010
7-8 Sep,YouGov/The Sun,1967,43,38,12,2,5,5,08/09/2010,2010
8-9 Sep,YouGov/The Sun,1948,42,37,14,2,6,5,09/09/2010,2010
9-10 Sep,YouGov/Sunday Times,1858,42,38,14,2,4,4,10/09/2010,2010
10-12 Sep,Populus/The Times,1508,39,37,14,0,10,2,12/09/2010,2010
10-12 Sep,Ipsos MORI/Reuters,1004,37,37,15,2,9,0,12/09/2010,2010
12-13 Sep,YouGov/The Sun,2108,41,38,12,2,7,3,13/09/2010,2010
13-14 Sep,YouGov/The Sun,1913,40,39,12,2,7,2,14/09/2010,2010
