"publisher_name","broken_package_count","broken_resource_count","publisher_title"
"academics","9","9","Academics"
"advantage-west-midlands","1","17","Advantage West Midlands"
"advisory-conciliation-and-arbitration-service","7","15","Advisory, Conciliation and Arbitration Service"
"airedale-nhs-foundation-trust","1","35","Airedale NHS Foundation Trust"
"alder-hey-childrens-nhs-foundation-trust","1","6","Alder Hey Children's NHS Foundation Trust"
"appointments-commission","4","7","Appointments Commission"
"arts-council-england","2","2","Arts Council England"
"arts-and-humanities-research-council","2","4","Arts and Humanities Research Council"
"ashfield-district-council","2","2","Ashfield District Council"
"ashton-leigh-and-wigan-community-healthcare-nhs-trust","1","9","Ashton, Leigh and Wigan Community Healthcare NHS Trust"
"attorney-generals-office","15","112","Attorney General's Office"
"audit-commission","8","31","Audit Commission"
"babergh-district-council","1","3","Babergh District Council"
"barking-havering-and-redbridge-university-hospitals-nhs-trust","15","15","Barking, Havering and Redbridge University Hospitals NHS Trust"
"barnsley-primary-care-trust","3","32","Barnsley Primary Care Trust"
"bassetlaw-district-council","1","1","Bassetlaw District Council"
"belfast-city-council","6","12","Belfast City Council"
"biotechnology-and-biological-sciences-research-council","3","3","Biotechnology and Biological Sciences Research Council"
"birmingham-childrens-nhs-foundation-trust","2","2","Birmingham Children's NHS Foundation Trust"
"birmingham-city-council","1","1","Birmingham City Council"
"birmingham-east-and-north-primary-care-trust","1","32","Birmingham East and North Primary Care Trust"
"birmingham-and-solihull-mental-health-nhs-foundation-trust","1","9","Birmingham and Solihull Mental Health NHS Foundation Trust"
"blaby-district-council","1","1","Blaby District Council"
"blackburn-with-darwen-care-trust-plus","1","10","Blackburn with Darwen Care Trust Plus"
"blackburn-with-darwen-council","1","2","Blackburn with Darwen Council"
"bradford-district-care-trust","1","11","Bradford District Care Trust"
"brent-primary-care-trust","6","11","Brent Primary Care Trust"
"bridgewater-community-healthcare-nhs-trust","1","7","Bridgewater Community Healthcare NHS Trust"
"brighton-and-hove-city-council","1","1","Brighton and Hove City Council"
"british-council","1","5","British Council"
"british-educational-communications-and-technology-agency","1","3","British Educational Communications and Technology Agency"
"british-geological-survey","2","8","British Geological Survey"
"british-transport-police-authority","1","4","British Transport Police Authority"
"broads-authority","2","2","Broads Authority"
"buckinghamshire-county-council","1","1","Buckinghamshire County Council"
"buckinghamshire-healthcare-nhs-trust","5","20","Buckinghamshire Healthcare NHS Trust"
"buckinghamshire-primary-care-trust","1","12","Buckinghamshire Primary Care Trust"
"burton-hospitals-nhs-foundation-trust","1","45","Burton Hospitals NHS Foundation Trust"
"businesslink","2","2","BusinessLink"
"cabinet-office","34","129","Cabinet Office"
"calderdale-metropolitan-borough-council","1","3","Calderdale Metropolitan Borough Council"
