dataset,header
1,Post Unique Reference
1,Name
1,Grade (or equivalent)
1,Job Title
1,Job/Team Function
1,Parent Department
1,Organisation
1,Unit
1,Contact Phone
1,Contact E-mail
1,Reports to Senior Post
1,Salary Cost of Reports (£)
1,FTE
1,Actual Pay Floor (£)
1,Actual Pay Ceiling (£)
1,V16
1,Professional/Occupational Group
1,Notes
1,Valid?
2,Parent Department
2,Organisation
2,Unit
2,Reporting Senior Post
2,Grade
2,Payscale Minimum (£)
2,Payscale Maximum (£)
2,Generic Job Title
2,Number of Posts in FTE
2,Professional/Occupational Group
3,Post Unique Reference
3,Name
3,Grade (or equivalent)
3,Job Title
3,Job/Team Function
3,Parent Department
3,Organisation
3,Unit
3,Contact Phone
3,Contact E-mail
3,Reports to Senior Post
3,Salary Cost of Reports (£)
3,FTE
3,Actual Pay Floor (£)
3,Actual Pay Ceiling (£)
3,V16
3,Professional/Occupational Group
3,Notes
3,Valid?
4,Parent Department
4,Organisation
4,Unit
4,Reporting Senior Post
4,Grade
4,Payscale Minimum (£)
4,Payscale Maximum (£)
4,Generic Job Title
4,Number of Posts in FTE
4,Professional/Occupational Group
5,Post Unique Reference
5,Name
5,Grade (or equivalent)
5,Job Title
5,Job/Team Function
5,Parent Department
5,Organisation
5,Unit
5,Contact Phone
5,Contact E-mail
5,Reports to Senior Post
5,Salary Cost of Reports (£)
5,FTE
5,Actual Pay Floor (£)
5,Actual Pay Ceiling (£)
5,V16
5,Professional/Occupational Group
5,Notes
5,Valid?
6,Parent Department
6,Organisation
6,Unit
6,Reporting Senior Post
6,Grade
6,Payscale Minimum (£)
6,Payscale Maximum (£)
6,Generic Job Title
6,Number of Posts in FTE
6,Professional/Occupational Group
7,Post Unique Reference
7,Name
7,Grade (or equivalent)
7,Job Title
7,Job/Team Function
7,Parent Department
7,Organisation
7,Unit
7,Contact Phone
7,Contact E-mail
7,Reports to Senior Post
7,Salary Cost of Reports (£)
7,FTE
7,Actual Pay Floor (£)
7,Actual Pay Ceiling (£)
7,V16
7,Professional/Occupational Group
7,Notes
7,Valid?
8,Parent Department
8,Organisation
8,Unit
8,Reporting Senior Post
8,Grade
8,Payscale Minimum (£)
8,Payscale Maximum (£)
8,Generic Job Title
8,Number of Posts in FTE
8,Professional/Occupational Group
9,Post Unique Reference
9,Name
9,Grade
9,Job Title
9,Job/Team Function
9,Parent Department
9,Organisation
9,Unit
9,Contact Phone
9,Contact E-mail
9,Reports to Senior Post
9,Salary Cost of Reports (£)
9,FTE
9,Actual Pay Floor (£)
9,Actual Pay Ceiling (£)
9,V16
9,Professional/Occupational Group
9,Notes
9,Valid?
10,Parent Department
10,Organisation
10,Unit
10,Reporting Senior Post
10,Grade
10,Payscale Minimum (£)
10,Payscale Maximum (£)
10,Generic Job Title
10,Number of Posts in FTE
10,Professional/Occupational Group
11,Post Unique Reference
11,Name
11,Grade (or equivalent)
11,Job Title
11,Job/Team Function
11,Parent Department
11,Organisation
11,Unit
11,Contact Phone
11,Contact E-mail
11,Reports to Senior Post
11,Salary Cost of Reports (£)
11,FTE
11,Actual Pay Floor (£)
11,Actual Pay Ceiling (£)
11,V16
11,Professional/Occupational Group
11,Notes
11,Valid?
12,Parent Department
12,Organisation
12,Unit
12,Reporting Senior Post
12,Grade
12,Payscale Minimum (£)
12,Payscale Maximum (£)
12,Generic Job Title
12,Number of Posts in FTE
12,Professional/Occupational Group
13,Post Unique Reference
13,Name
13,Grade (or equivalent)
13,Job Title
13,Job/Team Function
13,Parent Department
13,Organisation
13,Unit
13,Contact Phone
13,Contact E-mail
13,Reports to Senior Post
13,Salary Cost of Reports (£)
13,FTE
13,Actual Pay Floor (£)
13,Actual Pay Ceiling (£)
13,V16
13,Professional/Occupational Group
13,Notes
13,Valid?
14,Parent Department
14,Organisation
14,Unit
14,Reporting Senior Post
14,Grade
14,Payscale Minimum (£)
14,Payscale Maximum (£)
14,Generic Job Title
14,Number of Posts in FTE
14,Professional/Occupational Group
15,Post Unique Reference
15,Name
15,Grade (or equivalent)
15,Job Title
15,Job/Team Function
15,Parent Department
15,Organisation
15,Unit
15,Contact Phone
15,Contact E-mail
15,Reports to Senior Post
15,Salary Cost of Reports (£)
15,FTE
15,Actual Pay Floor (£)
15,Actual Pay Ceiling (£)
15,V16
15,Professional/Occupational Group
15,Notes
15,Valid?
16,Parent Department
16,Organisation
16,Unit
16,Reporting Senior Post
