Column,x
1,Post Unique Reference
2,Name
3,Grade (or equivalent)
4,Job Title
5,Job/Team Function
6,Parent Department
7,Organisation
8,Unit
9,Contact Phone
10,Contact E-mail
11,Reports to Senior Post
12,Salary Cost of Reports (£)
13,FTE
14,Actual Pay Floor (£)
15,Actual Pay Ceiling (£)
16,V16
17,Professional/Occupational Group
18,Notes
19,Valid?
20,Parent Department
21,Organisation
22,Unit
23,Reporting Senior Post
24,Grade
25,Payscale Minimum (£)
26,Payscale Maximum (£)
27,Generic Job Title
28,Number of Posts in FTE
29,Professional/Occupational Group
30,Post Unique Reference
31,Name
32,Grade (or equivalent)
33,Job Title
34,Job/Team Function
35,Parent Department
36,Organisation
37,Unit
38,Contact Phone
39,Contact E-mail
40,Reports to Senior Post
41,Salary Cost of Reports (£)
42,FTE
43,Actual Pay Floor (£)
44,Actual Pay Ceiling (£)
45,V16
46,Professional/Occupational Group
47,Notes
48,Valid?
49,Parent Department
50,Organisation
51,Unit
52,Reporting Senior Post
53,Grade
54,Payscale Minimum (£)
55,Payscale Maximum (£)
56,Generic Job Title
57,Number of Posts in FTE
58,Professional/Occupational Group
59,Post Unique Reference
60,Name
61,Grade (or equivalent)
62,Job Title
63,Job/Team Function
64,Parent Department
65,Organisation
66,Unit
67,Contact Phone
68,Contact E-mail
69,Reports to Senior Post
70,Salary Cost of Reports (£)
71,FTE
72,Actual Pay Floor (£)
73,Actual Pay Ceiling (£)
74,V16
75,Professional/Occupational Group
76,Notes
77,Valid?
78,Parent Department
79,Organisation
80,Unit
81,Reporting Senior Post
82,Grade
83,Payscale Minimum (£)
84,Payscale Maximum (£)
85,Generic Job Title
86,Number of Posts in FTE
87,Professional/Occupational Group
88,Post Unique Reference
89,Name
90,Grade (or equivalent)
91,Job Title
92,Job/Team Function
93,Parent Department
94,Organisation
95,Unit
96,Contact Phone
97,Contact E-mail
98,Reports to Senior Post
99,Salary Cost of Reports (£)
100,FTE
101,Actual Pay Floor (£)
102,Actual Pay Ceiling (£)
103,V16
104,Professional/Occupational Group
105,Notes
106,Valid?
107,Parent Department
108,Organisation
109,Unit
110,Reporting Senior Post
111,Grade
112,Payscale Minimum (£)
113,Payscale Maximum (£)
114,Generic Job Title
115,Number of Posts in FTE
116,Professional/Occupational Group
117,Post Unique Reference
118,Name
119,Grade
120,Job Title
121,Job/Team Function
122,Parent Department
123,Organisation
124,Unit
125,Contact Phone
126,Contact E-mail
127,Reports to Senior Post
128,Salary Cost of Reports (£)
129,FTE
130,Actual Pay Floor (£)
131,Actual Pay Ceiling (£)
132,V16
133,Professional/Occupational Group
134,Notes
135,Valid?
136,Parent Department
137,Organisation
138,Unit
139,Reporting Senior Post
140,Grade
141,Payscale Minimum (£)
142,Payscale Maximum (£)
143,Generic Job Title
144,Number of Posts in FTE
145,Professional/Occupational Group
146,Post Unique Reference
147,Name
148,Grade (or equivalent)
149,Job Title
150,Job/Team Function
151,Parent Department
152,Organisation
153,Unit
154,Contact Phone
155,Contact E-mail
156,Reports to Senior Post
157,Salary Cost of Reports (£)
158,FTE
159,Actual Pay Floor (£)
160,Actual Pay Ceiling (£)
161,V16
162,Professional/Occupational Group
163,Notes
164,Valid?
165,Parent Department
166,Organisation
167,Unit
168,Reporting Senior Post
169,Grade
170,Payscale Minimum (£)
171,Payscale Maximum (£)
172,Generic Job Title
173,Number of Posts in FTE
174,Professional/Occupational Group
175,Post Unique Reference
176,Name
177,Grade (or equivalent)
178,Job Title
179,Job/Team Function
180,Parent Department
181,Organisation
182,Unit
183,Contact Phone
184,Contact E-mail
185,Reports to Senior Post
186,Salary Cost of Reports (£)
187,FTE
188,Actual Pay Floor (£)
189,Actual Pay Ceiling (£)
190,V16
191,Professional/Occupational Group
192,Notes
193,Valid?
194,Parent Department
195,Organisation
196,Unit
197,Reporting Senior Post
198,Grade
199,Payscale Minimum (£)
200,Payscale Maximum (£)
201,Generic Job Title
202,Number of Posts in FTE
203,Professional/Occupational Group
204,Post Unique Reference
205,Name
206,Grade (or equivalent)
207,Job Title
208,Job/Team Function
209,Parent Department
210,Organisation
211,Unit
212,Contact Phone
213,Contact E-mail
214,Reports to Senior Post
215,Salary Cost of Reports (£)
216,FTE
217,Actual Pay Floor (£)
218,Actual Pay Ceiling (£)
219,V16
220,Professional/Occupational Group
221,Notes
222,Valid?
223,Parent Department
224,Organisation
225,Unit
226,Reporting Senior Post
227,Grade
228,Payscale Minimum (£)
229,Payscale Maximum (£)
