"","x"
"Expense Type",3144
"Entity",3039
"Expense Area",3029
"Supplier",2889
"Date",2820
"Transaction Number",2791
"Amount",2734
"Department Family",2498
"VAT Registration Number",916
"Convictions Percentage",836
"Number of Defendants convicted",814
"Number of Defendants Unsuccessful Prosecutions",814
"Unsuccessful Prosecutions Percentage",814
"Organisation",771
"Parent Department",691
"Unit",689
"Grade",658
"Supplier Name",634
"Description",538
"Professional/Occupational Group",458
"Name",446
"Job Title",408
"Notes",389
"Department",365
"Body Name",359
"V16",353
"Date of Payment",348
"Body",338
"Generic Job Title",329
"Supplier Type",329
"Post Unique Reference",328
"FTE",327
"Organisation Name",327
"Contact E-mail",320
"Contact Phone",320
"Job/Team Function",320
"Valid?",301
"Number of Posts in FTE",298
"Reporting Senior Post",295
"Amount in Sterling",293
"Payscale Maximum (£)",293
"Payscale Minimum (£)",293
"Expenditure Type",288
"Reports to Senior Post",288
"Salary Cost of Reports (£)",288
"Actual Pay Ceiling (£)",286
"Actual Pay Floor (£)",286
"Invoice Number",283
"Minister",282
"Organisation Type",263
"Main, parent or sponsoring department",260
"Project Code",257
"Grand Total paybill/staffing (payroll and non-payroll) costs",255
"Comments",246
"Contract Number",244
"Supplier Postcode",234
"Payment Date",222
"Supplier ID",220
"Merchant Name",214
"V5",207
"V6",197
"Transaction No",194
"V7",191
"V9",187
"V8",182
"CPS outcomes by principal offence category ",179
"Grand Total (workforce numbers) Full-time Equivalent",175
"Grand Total (workforce numbers) Headcount",175
"Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent",175
"Non-payroll Staff Agency staff (clerical/admin) Headcount",175
"Non-payroll Staff Consultants/Consultancy Full-time Equivalent",175
"Non-payroll Staff Consultants/Consultancy Headcount",175
"Non-payroll Staff Interim Managers Full-time Equivalent",175
"Non-payroll Staff Intermin Managers Headcount",175
"Non-payroll Staff Specialist Contractors Full-time Equivalent",175
"Non-payroll Staff Specialist Contractors Headcount",175
"Non-payroll Staff Total cost of consultants/consultancy",175
"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",175
"Non-payroll Staff Total Employees Full-time Equivalent",175
"Non-payroll Staff Total Employees Headcount",175
"Non-payroll Staff Total non-payroll (CCL) staff costs",175
"Payroll staff AO/AA Full-time Equivalent",175
"Payroll staff AO/AA Headcount",175
"Payroll Staff Costs Allowances",175
"Payroll Staff Costs Employer national insurance contributions",175
"Payroll Staff Costs Employer pension contributions",175
"Payroll Staff Costs Non-consolidated performance payments",175
"Payroll Staff Costs Overtime",175
"Payroll Staff Costs Salary",175
"Payroll Staff Costs Total paybill for payroll staff",175
"Payroll staff EO Full-time Equivalent",175
"Payroll staff EO Headcount",175
"Payroll staff Grade 6/7 Full-time Equivalent",175
"Payroll staff Grade 6/7 Headcount",175
"Payroll staff Other, unknown or unspecified Full-time Equivalent",175
"Payroll staff Other, unknown or unspecified Headcount",175
"Payroll staff SCS Full-time Equivalent",175
"Payroll staff SCS Headcount",175
"Payroll staff SEO/HEO Full-time Equivalent",175
"Payroll staff SEO/HEO Headcount",175
"Payroll staff Total Employees Full-time Equivalent",175
"Payroll staff Total Employees Headcount",175
"Grade (or equivalent)",172
"Name of Organisation",171
"Grand Total",159
"V10",159
"Expense Code",153
"Type of hospitality received",146
"Total",141
"Amount £",128
"Date Paid",128
"V4",128
"Profession",126
"Date of Hospitality",125
"V3",125
"Transaction Amount",121
"V2",121
"V11",115
"Transaction Date",111
"Purpose of meeting",110
"V12",107
"V13",107
"V19",107
"Destination",106
"Departmental Family",103
"V14",101
"Type",100
"Purchase invoice number",99
"V15",99
"V23",99
"BVACOP",96
"Expenses Type",96
"V17",95
"Service Area",93
"V20",91
"Purpose",89
"V21",89
"AP Amount",88
"V22",88
"Dept Family",86
"V24",86
"V26",86
"V29",86
"Grand Total 
(workforce numbers)",85
"Number of non-payroll staff (contingent labour and consultants/consultancy)",85
"Payroll staff",85
"Total Cost including travel and accommodation of Minister only",85
"V25",85
"V27",85
"V31",85
"V32",85
"V33",85
"V34",85
"V35",85
"V36",85
"V38",85
"V39",85
"<html>",83
"Posting Date",83
"Expenses Area",82
"Payroll staff costs",80
"Reference",79
"Comments and notes",78
"Number of officials accompanying Ministers (where non-scheduled travel is used)",77
"Non-Payroll staff (contingent labour/consultancy - CCL) costs",75
"AP Amount (£)",72
"Reporting Month",72
"Date of Trip",70
"Gift",70
"Cost Centre",69
" Outcome",65
"#",64
"Expenditure Over Threshold",64
"Extended Description",64
"Name of Special Adviser",64
"V1",64
"A3131",63
"Date Posted",63
"Current Quarter Month 1",61
"Current Quarter Month 2",61
"Current Quarter Month 3",61
"From",61
"Previous Quarter Month 1",61
"Previous Quarter Month 2",61
"Previous Quarter Month 3",61
"Invoice Amount",59
"MCC",59
"Postal Code",58
"Name of External Organisation",56
"Postcode",56
" had its name changed",55
" or is temporarily unavailable.",55
"Basis for Exception",55
"The resource you are looking for has been removed",55
"Invoice Amount GBP",54
"Vendor Name",54
"Invoice Currency Unit",53
"Supplier Number",53
"Value (£)",52
"Merchant",49
"Transaction",49
"VAT Reg No",49
"Proclass",48
"ÔªøDepartment Family",47
"air pressure (hPa)",46
"air temperature (degC)",46
"dew point (deg C)",46
"humidity (%)",46
"No Reply Percentage",46
"sea temperature (deg C)",46
"station",46
"time (UTC)",46
"visibility (nautical miles)",46
"wave height (metres)",46
"wave period (seconds)",46
"weather",46
"wind direction",46
"wind speed (knots)",46
"Comments (Additional Context)",45
"No Reply Headcount",45
"No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",45
"Transaction Reference",45
"Authority",42
"Month",42
"Spending Area",42
"Total Pay (£)",42
"Area ",41
"Cap / Rev",41
"Other Headcount",41
"Date received",40
"Other Percentage",40
"Region",40
"Search Term",40
"Abduction",38
"Accident - Air",38
"Accident - General",38
"Accident - Marine",38
"Accident - Rail",38
"Accident - Road",38
"Accident - Ski",38
"Approval month",38
"Arrest/Detention - Child Sex",38
"Arrest/Detention - Drugs",38
"Arrest/Detention - General",38
"Arrest/Detention - Immigration",38
"Assault - General",38
"Assault - Sexual",38
"Assistance, Info. (local)",38
"Assistance, Information (UK)",38
"Assistance, Loss",38
"Assistance, Medical",38
"Assistance, Theft",38
"Bouquets",38
"Child - Access",38
"Child Abduction",38
"Child Custody",38
"Complaints",38
"Consular Enquiries",38
"Death - Accidental",38
"Death - Execution",38
"Death - Murder",38
"Death - Natural",38
"Death - Open",38
"Death - Road",38
"Death - Suicide",38
"Death - Unknown",38
"Deportation",38
"Disaster",38
"Disaster, Natural",38
"Dispute",38
"Domestic Violence",38
"Estates",38
"ETDs",38
"Evacuation",38
"Extradition",38
"Fee Bearing Services",38
"Female Genital Mutilation",38
"Financial Transaction",38
"Forced Marriage",38
"Hijacking",38
"Hospitalisation",38
"Injury",38
"Mental Health",38
"Miscellaneous",38
"Missing Persons",38
"Notarial Acts",38
"Passport LSR",38
"Prefer Not to Say/Declined to specify Headcount",38
"Prefer Not to Say/Declined to specify Percentage",38
"Psychiatric",38
"Psychiatric (Diagnosed)",38
"Psychiatric (Undiagnosed)",38
"Rape",38
"Reluctant Sponsor",38
"Repatriation",38
"Repatriation, Medical",38
"Repatriation, Non-medical",38
"Reports To",38
"Shipping",38
"SOURCE",38
"Transfer from Crisis",38
"Welfare",38
"Welfare/Whereabouts",38
"Whereabouts",38
"White Percentage",38
" Value ",37
"Account Code",37
"Narrative",37
"Supplier Post Code",37
"Supplier/Institution",37
"White Headcount",37
"Cost Centre Description",36
"Definition",36
"Division",36
"Explanation",36
"Merchant category",36
"Service division",36
"SUBSOURCE",36
"Distribution Line Number",35
"Responsible Unit",35
"Additional Narrative",34
"Category",34
"Period Name",34
"Accounting Date",33
"Appointing Minister",33
"DFL",33
"DLG",33
"FR",33
"Invoice Description",33
"Payscale maximum",33
"Payscale minimum",33
"TP",33
"Transactions Number",33
"Vendor Site Code",33
"BME Headcount",32
"BME Percentage",32
"Date of Update",32
"Invoice no",32
"Settlement Amount",32
"Document Number",31
"Project name",31
"Reporting SCS post reference",31
"Men Headcount",30
"Men Percentage",30
"Transaction Posting date",30
