Year,Husband ,Wife
1971,27.8,25.2
1972,28.8,26.2
1973,28.8,26.1
1974,28.8,26.2
1975,29,26.3
1976,29.2,26.5
1977,29.3,26.6
1978,29.4,26.7
1979,29.4,26.6
1980,29.4,26.7
1981,29.6,26.9
1982,29.8,27
1983,30,27.2
1984,30.1,27.3
1985,30.2,27.5
1986,30.5,27.8
1987,30.4,27.8
1988,30.9,28.3
1989,31.1,28.5
1990,31.3,28.8
1991,31.6,29.1
1992,32,29.5
1993,32.4,29.9
1994,32.7,30.3
1995,33.1,30.7
1996,33.6,31.1
1997,33.9,31.4
1998,34.1,31.6
1999,34.4,31.8
2000,34.8,32.1
2001,34.8,32.2
2002,35.3,32.6
2003,35.6,32.9
2004,35.8,33.1
2005,36.2,33.5
2006,36.4,33.7
2007,36.4,33.8
2008,36.5,33.8
2009,36.3,33.7
2010,36.2,33.6
2011,36.3,33.8
